skin_type,oiliness_level,dryness_level,sensitivity_level,acne_severity,dark_spots_level,redness_level,age,label
balanced,5,6,6,2,10,5,21,Pigmentation-Prone
sensitive,0,8,9,0,3,5,20,Dry & Sensitive
oily,8,2,0,10,0,3,31,Oily & Acne
dry,1,9,10,2,0,6,37,Dry & Sensitive
sensitive,1,10,7,1,2,6,37,Dry & Sensitive
dry,3,5,5,0,1,2,22,Balanced
oily,7,2,4,7,2,5,18,Oily & Acne
dry,2,10,8,0,1,7,24,Dry & Sensitive
dry,2,6,4,1,9,3,23,Pigmentation-Prone
balanced,5,6,3,2,8,2,44,Pigmentation-Prone
acne,10,1,2,7,1,6,47,Oily & Acne
sensitive,0,9,8,1,3,6,49,Dry & Sensitive
balanced,2,4,4,3,10,3,23,Pigmentation-Prone
balanced,3,5,3,1,7,3,25,Pigmentation-Prone
balanced,5,4,3,2,7,5,47,Pigmentation-Prone
balanced,5,4,5,0,9,5,16,Pigmentation-Prone
oily,7,0,4,9,3,7,47,Acne-Prone
oily,10,1,3,8,0,4,27,Oily & Acne
oily,7,0,1,8,0,6,43,Acne-Prone
acne,9,2,0,6,0,6,28,Oily & Acne
dry,3,5,3,1,8,3,21,Pigmentation-Prone
balanced,4,5,4,2,10,5,23,Pigmentation-Prone
dry,2,5,6,3,9,4,32,Pigmentation-Prone
acne,9,2,1,7,0,4,38,Oily & Acne
sensitive,0,10,8,4,5,7,24,Dry & Sensitive
sensitive,6,6,3,1,0,4,16,Balanced
dry,6,3,4,2,2,0,35,Balanced
dry,6,6,6,0,0,2,43,Balanced
oily,9,1,0,10,3,4,40,Acne-Prone
acne,9,1,1,10,1,3,38,Oily & Acne
acne,9,3,2,8,0,6,24,Acne-Prone
sensitive,5,3,3,1,2,0,27,Balanced
dry,2,3,6,2,9,2,48,Pigmentation-Prone
acne,10,3,4,10,3,5,20,Acne-Prone
oily,10,3,3,8,3,4,21,Acne-Prone
acne,9,0,2,10,3,7,22,Acne-Prone
balanced,2,4,6,0,9,2,33,Pigmentation-Prone
dry,5,6,5,1,1,1,45,Balanced
oily,10,2,4,7,0,4,26,Oily & Acne
dry,2,9,10,2,4,4,40,Dry & Sensitive
oily,4,6,4,3,4,1,44,Balanced
dry,3,9,8,1,5,4,31,Dry & Sensitive
balanced,5,4,6,1,10,2,28,Pigmentation-Prone
dry,2,5,3,2,7,3,46,Pigmentation-Prone
balanced,4,5,3,2,2,2,41,Balanced
sensitive,1,9,7,4,3,3,29,Dry & Sensitive
dry,1,9,9,4,1,5,33,Dry & Sensitive
oily,10,2,2,7,1,7,41,Acne-Prone
acne,9,3,3,8,4,6,24,Oily & Acne
dry,2,8,7,3,4,7,44,Dry & Sensitive
oily,9,3,4,8,4,5,19,Oily & Acne
balanced,3,6,5,1,9,5,26,Pigmentation-Prone
balanced,4,6,4,3,9,2,40,Pigmentation-Prone
sensitive,3,7,7,1,0,5,49,Dry & Sensitive
sensitive,4,4,5,1,1,2,43,Balanced
acne,10,3,0,6,4,6,22,Oily & Acne
dry,4,6,4,2,10,4,40,Pigmentation-Prone
balanced,2,5,5,3,10,3,17,Pigmentation-Prone
balanced,3,5,4,1,4,4,36,Balanced
sensitive,0,8,10,0,4,6,47,Dry & Sensitive
balanced,5,5,5,3,7,5,35,Pigmentation-Prone
oily,9,2,2,10,3,3,36,Oily & Acne
sensitive,6,6,4,2,3,4,29,Balanced
balanced,3,6,5,0,9,2,16,Pigmentation-Prone
balanced,5,3,6,3,2,0,45,Balanced
dry,6,6,6,2,1,1,48,Balanced
acne,7,2,2,9,2,6,29,Acne-Prone
acne,8,0,2,7,0,4,17,Acne-Prone
acne,7,2,4,8,2,6,27,Acne-Prone
sensitive,2,10,9,4,4,4,20,Dry & Sensitive
oily,7,3,0,9,2,3,42,Oily & Acne
balanced,3,4,3,0,10,2,27,Pigmentation-Prone
oily,10,3,2,8,4,4,48,Oily & Acne
oily,8,0,3,10,4,5,33,Acne-Prone
acne,10,2,3,8,2,5,48,Oily & Acne
balanced,3,3,3,0,7,2,37,Pigmentation-Prone
balanced,5,6,5,1,7,4,49,Pigmentation-Prone
balanced,3,3,4,1,9,4,49,Pigmentation-Prone
balanced,3,4,5,3,7,2,49,Pigmentation-Prone
oily,8,3,4,7,1,3,23,Oily & Acne
oily,8,0,2,10,0,4,27,Acne-Prone
sensitive,3,8,8,3,3,3,30,Dry & Sensitive
dry,4,3,5,2,10,2,43,Pigmentation-Prone
balanced,3,6,4,1,7,3,47,Pigmentation-Prone
dry,2,6,3,3,8,2,31,Pigmentation-Prone
oily,7,3,0,8,3,6,24,Acne-Prone
acne,7,0,1,7,4,3,40,Oily & Acne
oily,9,2,1,10,3,6,27,Oily & Acne
dry,0,7,9,1,2,7,26,Dry & Sensitive
oily,4,4,4,2,2,1,35,Balanced
oily,7,3,2,8,1,4,44,Acne-Prone
acne,9,3,3,10,4,3,19,Acne-Prone
dry,2,10,9,3,1,3,33,Dry & Sensitive
sensitive,1,9,10,3,0,7,48,Dry & Sensitive
balanced,4,4,3,2,1,4,27,Balanced
dry,2,3,4,3,9,2,30,Pigmentation-Prone
balanced,4,4,6,3,9,4,50,Pigmentation-Prone
sensitive,3,8,7,2,3,7,19,Dry & Sensitive
sensitive,4,5,3,1,1,0,41,Balanced
sensitive,1,9,9,3,1,4,17,Dry & Sensitive
oily,9,0,4,8,2,7,41,Acne-Prone
dry,5,5,4,3,10,4,28,Pigmentation-Prone
oily,10,1,3,9,2,4,45,Acne-Prone
oily,8,2,2,8,3,3,28,Acne-Prone
sensitive,6,4,4,1,3,4,37,Balanced
oily,10,2,0,10,2,6,38,Oily & Acne
acne,7,0,0,10,2,5,32,Oily & Acne
sensitive,3,8,9,3,4,5,18,Dry & Sensitive
oily,10,3,2,10,2,6,42,Acne-Prone
oily,10,3,0,10,4,3,33,Oily & Acne
acne,10,1,4,8,2,3,47,Acne-Prone
sensitive,3,10,7,0,1,3,28,Dry & Sensitive
acne,10,3,3,9,4,5,40,Oily & Acne
dry,2,7,10,4,4,4,30,Dry & Sensitive
balanced,4,3,5,1,2,2,19,Balanced
oily,7,1,3,10,1,6,32,Acne-Prone
balanced,4,3,5,0,10,3,27,Pigmentation-Prone
acne,7,1,0,9,4,5,17,Acne-Prone
dry,5,6,4,3,2,2,32,Balanced
dry,6,5,4,0,0,3,31,Balanced
balanced,3,6,5,2,7,5,29,Pigmentation-Prone
dry,0,9,9,2,1,4,30,Dry & Sensitive
sensitive,1,7,8,1,4,5,39,Dry & Sensitive
oily,8,3,2,10,0,4,35,Oily & Acne
dry,5,3,5,3,1,0,21,Balanced
oily,8,3,4,6,2,5,24,Oily & Acne
oily,5,4,6,3,3,0,23,Balanced
oily,9,2,1,6,1,3,24,Oily & Acne
dry,2,7,7,1,0,4,28,Dry & Sensitive
acne,7,2,4,10,1,6,39,Acne-Prone
acne,8,1,4,10,4,6,35,Acne-Prone
acne,10,0,4,10,2,6,47,Acne-Prone
acne,8,1,2,9,4,7,43,Acne-Prone
acne,8,2,0,9,0,6,42,Acne-Prone
oily,8,2,0,10,4,3,34,Acne-Prone
sensitive,6,5,4,1,1,3,31,Balanced
oily,4,4,5,1,3,0,32,Balanced
balanced,3,6,5,2,9,3,28,Pigmentation-Prone
dry,3,3,3,1,10,3,28,Pigmentation-Prone
sensitive,6,3,6,1,1,1,23,Balanced
oily,4,6,6,3,0,0,31,Balanced
dry,3,3,4,1,10,3,35,Pigmentation-Prone
balanced,5,3,5,1,3,3,33,Balanced
acne,9,3,2,10,0,4,46,Acne-Prone
sensitive,4,6,5,3,0,2,16,Balanced
balanced,4,4,5,3,0,2,34,Balanced
oily,7,1,3,9,2,6,37,Acne-Prone
oily,10,2,0,7,2,3,36,Acne-Prone
dry,4,4,3,2,0,1,35,Balanced
acne,10,1,3,6,1,3,44,Oily & Acne
oily,10,2,3,7,0,6,45,Acne-Prone
balanced,5,3,5,3,2,2,17,Balanced
oily,10,1,0,9,1,6,26,Oily & Acne
dry,3,4,4,1,9,2,26,Pigmentation-Prone
oily,7,2,2,10,1,4,49,Acne-Prone
dry,1,8,10,3,4,3,21,Dry & Sensitive
oily,7,2,2,8,2,6,34,Oily & Acne
acne,10,0,2,8,2,5,17,Acne-Prone
balanced,4,5,6,1,7,4,25,Pigmentation-Prone
dry,0,8,8,3,5,4,49,Dry & Sensitive
oily,7,0,1,7,3,5,30,Acne-Prone
balanced,5,3,3,2,8,2,25,Pigmentation-Prone
oily,9,1,4,10,4,3,20,Oily & Acne
oily,10,2,3,10,2,6,37,Oily & Acne
acne,10,1,0,6,0,3,48,Oily & Acne
dry,1,10,10,0,3,3,44,Dry & Sensitive
sensitive,6,6,3,2,3,4,48,Balanced
acne,9,0,0,9,4,7,33,Acne-Prone
oily,6,3,4,3,0,0,21,Balanced
acne,8,0,3,7,3,3,34,Acne-Prone
oily,8,0,3,9,2,6,47,Acne-Prone
sensitive,3,3,4,0,2,0,16,Balanced
balanced,4,3,4,2,2,0,34,Balanced
oily,9,0,2,8,2,7,40,Acne-Prone
balanced,3,4,3,2,8,4,38,Pigmentation-Prone
dry,3,4,4,0,10,2,24,Pigmentation-Prone
oily,8,3,4,7,4,3,19,Acne-Prone
acne,7,3,1,10,4,5,19,Acne-Prone
oily,3,6,3,2,2,1,38,Balanced
oily,10,3,1,6,1,3,44,Oily & Acne
balanced,5,5,3,2,0,0,41,Balanced
oily,5,6,6,2,2,0,35,Balanced
dry,1,8,10,1,4,5,20,Dry & Sensitive
balanced,5,4,4,1,3,4,30,Balanced
acne,9,0,3,9,4,6,36,Acne-Prone
sensitive,3,5,3,3,1,1,36,Balanced
dry,5,6,6,2,7,5,41,Pigmentation-Prone
sensitive,3,8,9,1,0,3,24,Dry & Sensitive
dry,3,7,8,1,5,3,27,Dry & Sensitive
acne,9,3,1,10,3,6,17,Oily & Acne
dry,1,9,10,0,1,5,26,Dry & Sensitive
sensitive,4,6,6,3,3,3,46,Balanced
dry,6,3,5,1,0,0,22,Balanced
dry,0,10,10,1,1,3,45,Dry & Sensitive
sensitive,6,6,6,1,4,4,28,Balanced
oily,9,1,3,9,4,4,44,Oily & Acne
oily,6,3,3,2,2,0,35,Balanced
dry,5,3,6,2,7,3,26,Pigmentation-Prone
acne,8,0,1,6,4,5,29,Oily & Acne
dry,3,3,3,0,8,4,43,Pigmentation-Prone
dry,5,5,5,1,2,2,29,Balanced
dry,4,5,5,1,0,1,42,Balanced
balanced,5,3,6,0,10,2,26,Pigmentation-Prone
dry,4,3,4,0,7,5,22,Pigmentation-Prone
acne,10,0,4,10,3,4,19,Acne-Prone
balanced,3,4,5,3,9,2,32,Pigmentation-Prone
balanced,4,4,6,0,2,0,47,Balanced
acne,8,3,2,10,4,4,43,Acne-Prone
acne,7,2,0,10,3,3,22,Acne-Prone
acne,9,1,0,8,3,3,22,Acne-Prone
dry,2,9,7,3,5,4,33,Dry & Sensitive
oily,5,3,3,2,2,3,35,Balanced
dry,4,5,5,2,9,4,17,Pigmentation-Prone
dry,3,6,6,2,4,1,25,Balanced
oily,10,1,3,10,3,5,30,Oily & Acne
sensitive,0,7,7,1,1,6,37,Dry & Sensitive
acne,8,3,4,9,0,3,40,Oily & Acne
balanced,5,6,6,3,7,2,49,Pigmentation-Prone
acne,10,1,4,10,4,4,32,Oily & Acne
oily,8,0,4,8,4,3,48,Oily & Acne
acne,9,1,0,9,3,6,32,Acne-Prone
balanced,2,3,5,2,7,3,24,Pigmentation-Prone
balanced,4,6,5,1,4,4,47,Balanced
acne,9,0,1,10,0,4,46,Oily & Acne
balanced,6,4,4,1,4,2,24,Balanced
balanced,2,5,6,3,7,5,45,Pigmentation-Prone
oily,4,6,5,3,0,4,27,Balanced
acne,10,2,4,6,0,6,34,Oily & Acne
acne,8,3,1,10,3,3,43,Acne-Prone
sensitive,5,4,3,3,4,0,23,Balanced
sensitive,3,7,7,3,0,7,28,Dry & Sensitive
dry,0,10,9,2,3,6,31,Dry & Sensitive
oily,6,4,5,1,2,4,43,Balanced
oily,5,4,6,3,2,0,21,Balanced
oily,9,1,0,7,1,6,28,Acne-Prone
oily,5,3,3,0,4,0,39,Balanced
sensitive,2,10,7,4,1,5,41,Dry & Sensitive
dry,4,4,5,0,10,2,18,Pigmentation-Prone
balanced,2,3,5,2,8,2,23,Pigmentation-Prone
oily,7,1,4,7,1,6,26,Acne-Prone
acne,10,3,0,10,1,7,48,Acne-Prone
oily,7,3,3,7,3,6,28,Acne-Prone
acne,8,1,2,6,4,6,25,Oily & Acne
sensitive,0,9,10,4,3,5,49,Dry & Sensitive
sensitive,1,7,7,0,3,7,25,Dry & Sensitive
balanced,3,6,6,2,0,1,17,Balanced
sensitive,3,3,6,2,1,3,41,Balanced
oily,10,2,1,8,0,4,25,Acne-Prone
dry,6,5,6,0,4,2,48,Balanced
dry,3,5,5,2,10,2,25,Pigmentation-Prone
sensitive,0,7,10,1,5,7,41,Dry & Sensitive
oily,9,0,3,10,1,4,34,Acne-Prone
sensitive,1,8,7,3,2,4,30,Dry & Sensitive
oily,9,2,1,9,3,5,43,Oily & Acne
dry,2,6,4,3,9,3,24,Pigmentation-Prone
acne,7,1,0,7,2,5,37,Acne-Prone
acne,9,2,0,8,0,3,44,Acne-Prone
sensitive,3,8,7,4,2,3,21,Dry & Sensitive
sensitive,3,7,9,1,3,7,19,Dry & Sensitive
dry,2,9,7,1,4,5,43,Dry & Sensitive
balanced,2,6,3,3,7,3,40,Pigmentation-Prone
acne,8,1,4,8,3,4,17,Oily & Acne
dry,0,8,9,2,4,6,31,Dry & Sensitive
acne,8,1,1,6,1,4,35,Oily & Acne
oily,6,3,3,1,2,4,26,Balanced
oily,10,3,2,8,3,6,34,Acne-Prone
acne,9,0,3,6,1,4,18,Oily & Acne
acne,8,1,3,10,3,7,43,Acne-Prone
dry,2,8,7,1,3,3,36,Dry & Sensitive
dry,3,10,9,4,1,6,45,Dry & Sensitive
dry,3,3,4,2,4,1,26,Balanced
balanced,3,4,6,0,2,2,26,Balanced
acne,7,0,4,8,3,5,16,Acne-Prone
acne,7,3,3,10,3,5,44,Oily & Acne
sensitive,3,6,6,3,3,4,49,Balanced
balanced,5,5,5,2,4,4,40,Balanced
sensitive,5,4,5,2,3,2,43,Balanced
acne,10,2,1,8,2,4,46,Oily & Acne
balanced,3,6,3,2,7,5,41,Pigmentation-Prone
oily,8,0,2,6,2,6,31,Oily & Acne
balanced,6,6,6,1,0,2,28,Balanced
dry,1,9,10,2,2,7,50,Dry & Sensitive
oily,3,5,3,3,1,1,40,Balanced
oily,9,3,0,8,2,3,23,Oily & Acne
dry,3,8,8,1,4,5,19,Dry & Sensitive
oily,4,6,4,0,3,1,34,Balanced
balanced,2,3,4,3,10,2,43,Pigmentation-Prone
oily,8,0,3,8,1,7,21,Acne-Prone
acne,7,1,4,9,0,7,43,Acne-Prone
sensitive,6,3,3,0,3,3,46,Balanced
balanced,4,4,5,0,9,5,32,Pigmentation-Prone
balanced,3,6,3,0,7,5,42,Pigmentation-Prone
dry,3,7,7,4,3,7,43,Dry & Sensitive
oily,9,0,1,8,0,5,16,Oily & Acne
balanced,2,4,6,3,8,3,37,Pigmentation-Prone
acne,7,0,1,7,0,6,31,Oily & Acne
acne,8,3,4,9,3,3,34,Acne-Prone
dry,4,6,4,3,7,3,39,Pigmentation-Prone
oily,8,1,2,8,2,4,18,Acne-Prone
oily,9,0,4,7,3,4,18,Oily & Acne
balanced,6,5,4,2,2,0,19,Balanced
balanced,3,4,4,2,9,4,48,Pigmentation-Prone
dry,0,7,10,3,3,6,33,Dry & Sensitive
oily,8,0,3,10,4,5,48,Acne-Prone
acne,7,1,0,9,0,5,37,Oily & Acne
acne,8,0,1,9,4,5,22,Acne-Prone
dry,3,6,4,2,7,2,46,Pigmentation-Prone
sensitive,6,6,3,0,1,0,17,Balanced
oily,7,1,1,9,0,5,31,Oily & Acne
oily,8,3,0,10,1,6,41,Acne-Prone
sensitive,3,8,9,3,1,5,33,Dry & Sensitive
sensitive,2,8,7,3,0,4,26,Dry & Sensitive
dry,1,7,9,3,3,3,22,Dry & Sensitive
oily,9,0,1,7,1,7,19,Acne-Prone
acne,10,2,2,8,1,3,35,Oily & Acne
dry,4,6,5,1,3,3,35,Balanced
acne,7,0,1,8,3,7,24,Acne-Prone
oily,9,1,3,7,1,5,23,Acne-Prone
dry,1,8,10,4,0,6,31,Dry & Sensitive
balanced,3,4,3,3,7,4,19,Pigmentation-Prone
acne,8,2,2,10,4,4,21,Acne-Prone
oily,10,0,2,7,1,6,25,Acne-Prone
dry,5,5,6,1,10,5,38,Pigmentation-Prone
dry,2,8,10,1,4,3,45,Dry & Sensitive
dry,2,9,7,0,3,6,26,Dry & Sensitive
dry,3,7,8,1,2,3,29,Dry & Sensitive
balanced,6,4,6,1,3,1,20,Balanced
dry,3,9,9,0,1,6,17,Dry & Sensitive
balanced,4,5,6,2,8,3,44,Pigmentation-Prone
dry,3,8,10,0,3,5,48,Dry & Sensitive
dry,2,7,8,2,3,5,35,Dry & Sensitive
balanced,3,4,5,2,0,4,39,Balanced
balanced,2,4,4,2,8,5,47,Pigmentation-Prone
dry,1,7,10,1,3,7,50,Dry & Sensitive
sensitive,2,10,7,4,2,4,46,Dry & Sensitive
sensitive,2,10,9,0,5,4,27,Dry & Sensitive
oily,8,2,0,10,3,6,45,Oily & Acne
balanced,2,4,3,3,8,5,48,Pigmentation-Prone
dry,5,5,4,2,10,5,41,Pigmentation-Prone
acne,9,0,0,7,2,5,27,Oily & Acne
dry,5,5,6,2,4,2,38,Balanced
sensitive,2,9,10,4,0,4,40,Dry & Sensitive
dry,4,5,4,1,1,1,38,Balanced
oily,8,3,1,6,2,6,16,Oily & Acne
acne,8,3,2,9,0,4,38,Oily & Acne
dry,5,3,6,0,2,4,44,Balanced
balanced,3,4,4,3,2,4,48,Balanced
dry,5,3,3,3,2,0,47,Balanced
acne,7,0,2,8,2,6,44,Acne-Prone
sensitive,1,10,8,3,5,3,30,Dry & Sensitive
sensitive,1,8,7,0,1,5,50,Dry & Sensitive
oily,9,0,2,8,0,5,38,Acne-Prone
dry,1,9,9,1,1,7,44,Dry & Sensitive
balanced,2,3,4,0,10,3,20,Pigmentation-Prone
sensitive,3,7,8,1,4,7,50,Dry & Sensitive
dry,6,6,4,3,4,2,50,Balanced
dry,1,10,8,2,1,5,39,Dry & Sensitive
acne,7,1,1,9,0,7,29,Acne-Prone
balanced,4,5,6,3,10,3,36,Pigmentation-Prone
dry,4,4,4,3,10,5,26,Pigmentation-Prone
balanced,4,5,4,3,8,4,18,Pigmentation-Prone
dry,0,8,9,1,1,7,40,Dry & Sensitive
balanced,2,4,5,1,7,4,23,Pigmentation-Prone
oily,8,3,0,7,0,3,32,Oily & Acne
balanced,4,6,3,1,7,4,25,Pigmentation-Prone
dry,4,4,5,1,7,5,16,Pigmentation-Prone
sensitive,3,3,3,0,2,1,42,Balanced
balanced,4,3,5,0,10,2,23,Pigmentation-Prone
acne,9,3,2,8,3,3,47,Acne-Prone
oily,9,1,2,8,3,3,37,Acne-Prone
oily,9,0,3,7,2,4,49,Oily & Acne
balanced,5,5,6,2,9,3,16,Pigmentation-Prone
acne,9,1,0,7,4,4,17,Oily & Acne
dry,6,5,3,2,3,4,47,Balanced
oily,10,1,2,10,4,3,50,Acne-Prone
acne,10,1,2,6,0,4,19,Oily & Acne
dry,3,8,8,4,5,4,36,Dry & Sensitive
acne,8,1,4,9,2,6,36,Oily & Acne
sensitive,5,3,4,3,3,2,17,Balanced
balanced,4,3,6,1,9,2,21,Pigmentation-Prone
balanced,3,3,4,0,0,3,21,Balanced
sensitive,0,10,8,2,1,5,18,Dry & Sensitive
balanced,2,6,5,1,8,2,22,Pigmentation-Prone
oily,7,3,1,7,4,7,23,Acne-Prone
oily,7,1,4,9,3,7,40,Acne-Prone
balanced,5,4,4,0,2,0,26,Balanced
oily,7,3,1,7,0,4,33,Oily & Acne
sensitive,4,5,3,3,4,2,27,Balanced
oily,10,1,0,7,2,3,40,Acne-Prone
dry,3,7,7,3,2,7,17,Dry & Sensitive
oily,9,2,0,7,0,3,37,Acne-Prone
dry,5,4,5,1,7,2,19,Pigmentation-Prone
dry,6,4,3,0,4,3,19,Balanced
oily,5,5,5,1,4,1,31,Balanced
oily,9,0,2,10,4,5,33,Acne-Prone
dry,4,3,6,1,4,4,43,Balanced
dry,3,6,3,3,8,2,38,Pigmentation-Prone
acne,9,0,1,8,0,4,43,Oily & Acne
dry,2,5,3,0,9,5,49,Pigmentation-Prone
acne,10,3,4,7,1,4,39,Oily & Acne
dry,1,8,10,1,3,7,25,Dry & Sensitive
dry,3,5,3,2,9,4,26,Pigmentation-Prone
oily,7,3,4,10,3,3,50,Oily & Acne
acne,8,3,3,7,3,5,20,Acne-Prone
dry,3,5,5,1,9,3,29,Pigmentation-Prone
dry,2,6,5,0,7,2,28,Pigmentation-Prone
acne,7,1,2,8,0,6,20,Oily & Acne
dry,3,4,6,3,10,3,34,Pigmentation-Prone
dry,3,3,6,1,8,5,34,Pigmentation-Prone
oily,6,3,4,3,4,1,38,Balanced
balanced,6,5,4,1,4,1,30,Balanced
dry,2,4,4,2,7,4,41,Pigmentation-Prone
sensitive,4,6,5,1,1,4,45,Balanced
oily,8,3,4,9,0,4,39,Oily & Acne
acne,8,2,0,9,2,6,44,Oily & Acne
dry,1,8,9,3,2,6,36,Dry & Sensitive
oily,9,2,3,10,1,3,48,Oily & Acne
oily,6,3,3,1,1,3,29,Balanced
sensitive,3,6,5,1,0,2,17,Balanced
oily,7,2,1,10,2,5,20,Acne-Prone
balanced,6,6,5,1,3,0,21,Balanced
balanced,3,4,3,0,9,4,41,Pigmentation-Prone
oily,9,3,2,10,2,6,17,Oily & Acne
oily,9,3,1,6,4,4,48,Oily & Acne
dry,3,8,10,2,4,6,49,Dry & Sensitive
dry,5,3,4,0,10,3,22,Pigmentation-Prone
sensitive,2,10,10,4,4,4,46,Dry & Sensitive
oily,6,4,5,2,4,3,48,Balanced
oily,7,1,2,6,4,5,36,Oily & Acne
balanced,4,6,6,2,7,2,33,Pigmentation-Prone
oily,10,2,4,10,3,7,24,Acne-Prone
acne,7,3,2,7,3,7,24,Acne-Prone
acne,9,1,1,7,2,3,44,Acne-Prone
balanced,5,3,5,3,0,4,44,Balanced
oily,8,0,0,9,0,7,37,Acne-Prone
sensitive,4,6,5,1,0,4,50,Balanced
balanced,4,3,5,0,4,3,23,Balanced
dry,3,3,3,2,0,1,25,Balanced
acne,7,3,0,7,1,3,22,Oily & Acne
oily,4,4,5,2,1,2,49,Balanced
oily,10,0,0,10,3,3,39,Oily & Acne
dry,0,9,10,0,1,6,34,Dry & Sensitive
dry,4,3,3,3,3,4,25,Balanced
sensitive,6,4,3,3,2,4,32,Balanced
oily,8,1,2,7,4,3,22,Acne-Prone
oily,6,6,6,0,4,0,21,Balanced
dry,6,4,4,0,3,1,45,Balanced
balanced,5,3,6,0,8,3,23,Pigmentation-Prone
dry,0,7,8,0,4,4,18,Dry & Sensitive
acne,9,2,0,9,4,6,19,Oily & Acne
oily,8,1,0,7,2,6,41,Oily & Acne
dry,5,4,3,1,8,5,45,Pigmentation-Prone
dry,5,5,3,2,7,4,18,Pigmentation-Prone
acne,9,0,2,10,4,3,43,Acne-Prone
dry,1,10,8,4,0,3,41,Dry & Sensitive
balanced,4,3,3,0,4,4,40,Balanced
dry,0,10,9,4,2,4,47,Dry & Sensitive
dry,0,8,10,0,0,4,21,Dry & Sensitive
balanced,5,3,4,0,2,4,30,Balanced
acne,10,2,1,8,4,5,40,Acne-Prone
oily,10,3,3,7,2,3,16,Oily & Acne
balanced,4,5,5,1,7,2,33,Pigmentation-Prone
dry,3,5,3,1,7,3,37,Pigmentation-Prone
acne,10,2,0,7,4,5,18,Acne-Prone
oily,9,0,2,8,0,5,31,Oily & Acne
dry,3,6,6,1,10,5,44,Pigmentation-Prone
acne,9,3,2,9,4,6,33,Acne-Prone
acne,8,2,4,8,3,5,29,Acne-Prone
acne,7,3,2,6,2,4,36,Oily & Acne
dry,2,4,6,3,7,4,36,Pigmentation-Prone
sensitive,6,6,3,2,2,1,48,Balanced
oily,6,3,4,3,1,2,47,Balanced
sensitive,2,8,10,3,5,7,22,Dry & Sensitive
balanced,3,5,4,1,0,3,16,Balanced
dry,3,6,5,2,9,4,39,Pigmentation-Prone
balanced,4,5,4,1,7,3,34,Pigmentation-Prone
acne,9,0,2,10,0,3,47,Acne-Prone
sensitive,3,3,4,3,1,1,43,Balanced
balanced,5,5,6,0,1,0,27,Balanced
acne,10,2,1,6,0,3,48,Oily & Acne
oily,8,2,3,6,2,3,32,Oily & Acne
dry,3,6,3,3,10,4,37,Pigmentation-Prone
acne,7,1,0,8,1,3,18,Oily & Acne
acne,8,1,2,7,2,6,41,Acne-Prone
dry,5,3,5,1,10,4,17,Pigmentation-Prone
sensitive,3,5,3,2,4,2,23,Balanced
oily,9,2,1,9,1,4,26,Oily & Acne
balanced,3,4,5,0,2,3,49,Balanced
oily,8,1,1,9,1,3,16,Oily & Acne
oily,10,1,4,9,4,6,25,Acne-Prone
sensitive,2,8,9,0,0,4,41,Dry & Sensitive
oily,7,2,4,7,0,4,28,Oily & Acne
dry,4,3,5,1,3,4,28,Balanced
balanced,3,3,4,0,2,1,30,Balanced
oily,10,1,2,9,3,4,28,Acne-Prone
oily,7,0,2,7,0,6,16,Oily & Acne
dry,3,8,9,2,0,7,41,Dry & Sensitive
sensitive,2,9,7,0,1,3,24,Dry & Sensitive
oily,10,2,4,7,0,5,42,Acne-Prone
sensitive,3,6,5,1,2,3,25,Balanced
sensitive,2,8,7,1,3,6,48,Dry & Sensitive
dry,5,5,6,2,7,4,28,Pigmentation-Prone
acne,10,1,0,8,2,5,35,Acne-Prone
oily,8,3,4,9,4,6,44,Acne-Prone
oily,9,1,1,7,4,4,50,Oily & Acne
oily,8,0,3,9,0,5,40,Acne-Prone
dry,5,3,4,3,9,4,26,Pigmentation-Prone
oily,10,1,4,7,1,4,47,Acne-Prone
acne,10,3,2,7,2,3,24,Acne-Prone
sensitive,5,6,3,1,3,1,33,Balanced
balanced,2,5,6,0,8,4,24,Pigmentation-Prone
oily,10,1,1,7,3,5,20,Oily & Acne
dry,2,9,7,1,4,7,27,Dry & Sensitive
acne,7,0,0,10,0,5,48,Acne-Prone
acne,9,1,3,9,4,5,20,Oily & Acne
oily,3,4,6,0,0,3,49,Balanced
oily,10,2,2,10,3,4,44,Acne-Prone
sensitive,1,9,7,1,3,7,27,Dry & Sensitive
oily,9,1,3,8,3,4,49,Oily & Acne
oily,8,2,0,10,1,7,39,Acne-Prone
balanced,2,4,6,2,9,4,47,Pigmentation-Prone
sensitive,5,4,3,3,0,2,18,Balanced
dry,4,4,4,1,10,2,21,Pigmentation-Prone
oily,4,6,6,2,0,1,22,Balanced
acne,9,3,2,10,0,3,50,Acne-Prone
acne,8,3,1,7,2,3,49,Oily & Acne
oily,10,2,2,6,2,5,39,Oily & Acne
oily,10,1,0,8,2,5,16,Acne-Prone
acne,8,1,1,7,0,6,23,Acne-Prone
balanced,5,5,6,2,0,4,48,Balanced
oily,7,1,2,8,4,3,35,Acne-Prone
dry,1,10,7,3,4,4,16,Dry & Sensitive
oily,4,5,3,3,1,3,29,Balanced
balanced,4,6,4,0,7,2,45,Pigmentation-Prone
acne,8,0,1,6,1,6,18,Oily & Acne
sensitive,3,8,9,2,1,5,22,Dry & Sensitive
balanced,2,4,3,1,8,4,38,Pigmentation-Prone
dry,3,7,9,1,3,7,18,Dry & Sensitive
acne,10,0,1,7,4,7,45,Acne-Prone
acne,7,0,4,6,4,6,34,Oily & Acne
acne,7,0,3,9,1,5,31,Acne-Prone
